GROUP_NAME    USERS                     
cmsit        cmsit01 cmsit02 cmsit03 cmsit04 cmsit05 cmsit06 cmsit07 cmsit08 cmsit10 cmsit09 
cmsprt       cmsprt12 cmsprt13 cmsprt14 cmsprt15 cmsprt16 cmsprt17 cmsprt18 cmsprt20 cmsprt19 cmsprt01 cmsprt21 cmsprt02 cmsprt22 cmsprt03 cmsprt23 cmsprt04 cmsprt24 cmsprt05 cmsprt25 cmsprt06 cmsprt07 cmsprt08 cmsprt10 cmsprt09 cmsprt11 
cmspilot     cmsplt17 cmsplt18 cmsplt20 cmsplt19 cmsplt01 cmsplt02 cmsplt03 cmsplt04 cmsplt05 cmsplt06 cmsplt07 cmsplt08 cmsplt10 cmsplt09 cmsplt11 cmsplt12 cmsplt13 cmsplt14 cmsplt15 cmsplt16 
cmsusers     cms048 cms049 cms080 cms081 cms082 cms110 cms083 cms111 cms084 cms112 cms085 cms113 cms086 cms114 cms087 cms115 cms088 cms116 cms089 cms117 cms118 cms119 cms030 cms031 cms032 cms033 cms034 cms035 cms036 cms037 cms038 cms039 cms150 cms070 cms071 cms072 cms100 cms073 cms101 cms074 cms102 cms075 cms103 cms076 cms104 cms077 cms105 cms078 cms106 cms079 cms107 cms108 cms020 cms109 cms021 cms022 cms023 cms024 cms025 cms026 cms027 cms028 cms029 cms140 cms141 cms142 cms143 cms144 cms145 cms146 cms147 cms148 cms149 cms060 cms061 cms062 cms063 cms064 cms065 cms066 cms067 cms068 cms069 cms010 cms011 cms012 cms013 cms014 cms015 cms016 cms017 cms018 cms019 cms130 cms131 cms132 cms133 cms134 cms135 cms136 cms137 cms138 cms139 cms050 cms051 cms052 cms053 cms054 cms055 cms056 cms057 cms058 cms059 cms001 cms002 cms003 cms004 cms005 cms006 cms007 cms008 cms009 cms090 cms091 cms092 cms120 cms093 cms121 cms094 cms122 cms095 cms123 cms096 cms124 cms097 cms125 cms098 cms126 cms099 cms127 cms128 cms129 cms040 cms041 cms042 cms043 cms044 cms045 cms046 cms047 
cmsstd       cmsit/ cmsusers/ cmsprt/ 
cmsvo        cmsprd cmssgm cmsstd/ cmspilot/ 
atlaspilot   atlasplt01 atlasplt02 atlasplt03 atlasplt04 atlasplt05 atlasplt06 atlasplt07 atlasplt08 
atlasusers   atlas019 atlas040 atlas041 atlas042 atlas043 atlas020 atlas044 atlas021 atlas045 atlas022 atlas046 atlas023 atlas047 atlas024 atlas001 atlas048 atlas025 atlas002 atlas049 atlas026 atlas003 atlas027 atlas004 atlas028 atlas005 atlas029 atlas006 atlas007 atlas008 atlas009 atlas050 atlas030 atlas031 atlas032 atlas033 atlas010 atlas034 atlas011 atlas035 atlas012 atlas036 atlas013 atlas037 atlas014 atlas038 atlas015 atlas039 atlas016 atlas017 atlas018 
atlasvo      atlasprd atlassgm atlasusers/ atlaspilot/ 
lhcbpilot    lhcbplt06 lhcbplt07 lhcbplt08 lhcbplt01 lhcbplt02 lhcbplt03 lhcbplt04 lhcbplt05 
lhcbusers    lhcb038 lhcb015 lhcb039 lhcb016 lhcb017 lhcb018 lhcb019 lhcb040 lhcb041 lhcb042 lhcb043 lhcb020 lhcb044 lhcb021 lhcb045 lhcb022 lhcb046 lhcb023 lhcb047 lhcb024 lhcb001 lhcb048 lhcb025 lhcb002 lhcb049 lhcb026 lhcb003 lhcb027 lhcb004 lhcb028 lhcb005 lhcb029 lhcb006 lhcb007 lhcb008 lhcb009 lhcb050 lhcb030 lhcb031 lhcb032 lhcb033 lhcb010 lhcb034 lhcb011 lhcb035 lhcb012 lhcb036 lhcb013 lhcb037 lhcb014 
lhcbvo       lhcbprd lhcbsgm lhcbusers/ lhcbpilot/ 
glastvo      glast028 glast005 glast029 glast006 glast007 glast008 glastsgm glast009 glast030 glast010 glast011 glast013 glast014 glast015 glast016 glast017 glast018 glast019 glast020 atlas012 glast021 glast022 glast023 glast001 glast024 glast002 glast025 glast026 glast003 glast027 glast004 
virgovo      virgo017 virgosgm virgo018 virgo020 virgo019 virgo001 virgo002 virgo003 virgo004 virgo005 virgo006 virgo007 virgo008 virgo010 virgo009 virgo011 virgo012 virgo013 virgo014 virgo015 virgo016 
babarvo      babar013 babar014 babar015 babar016 babar017 babarsgm babar018 babar020 babar019 babar001 babar002 babar003 babar004 babar005 babar006 babar007 babar008 babar010 babar009 babar011 babar012 
griditvo     gridit019 gridit040 gridit041 gridit042 gridit043 gridit020 gridit044 gridit021 gridit045 gridit022 gridit046 gridit023 gridit047 gridit024 gridit001 gridit048 gridit025 gridit002 gridit049 gridit026 gridit003 gridit027 gridit004 gridit028 gridit005 gridit029 gridit006 gridit007 gridit008 gridit009 griditsgm gridit050 gridit030 gridit031 gridit032 gridit033 gridit010 gridit034 gridit011 gridit035 gridit012 gridit036 gridit013 gridit037 gridit014 gridit038 gridit015 gridit039 gridit016 gridit017 gridit018 
biovo        bio003 bio004 bio005 bio006 bio007 bio008 bio010 bio009 bio011 bio012 bio013 bio014 bio015 bio016 bio017 biosgm bio018 bio020 bio019 bio001 bio002 
